track_href,name,artist,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
https://api.spotify.com/v1/tracks/6dJODklApmve5IzgKWUqV2,Machinehead,Bush,https://api.spotify.com/v1/audio-analysis/6dJODklApmve5IzgKWUqV2,0.919,0.134,172.668,0.11,spotify:track:6dJODklApmve5IzgKWUqV2,2.57e-05,0.00427,3,0.143,9,256333,-4.438,0.201,audio_features,6dJODklApmve5IzgKWUqV2,1
https://api.spotify.com/v1/tracks/591nHHHzZl1NLt9PMKpinM,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,https://api.spotify.com/v1/audio-analysis/591nHHHzZl1NLt9PMKpinM,0.807,0.316,127.929,0.0374,spotify:track:591nHHHzZl1NLt9PMKpinM,0.328,0.000146,4,0.511,6,208320,-3.699,0.586,audio_features,591nHHHzZl1NLt9PMKpinM,0
https://api.spotify.com/v1/tracks/0Wl42CUb1phIU9O2aR1wXI,Disarm,The Smashing Pumpkins,https://api.spotify.com/v1/audio-analysis/0Wl42CUb1phIU9O2aR1wXI,0.426,0.121,129.301,0.0278,spotify:track:0Wl42CUb1phIU9O2aR1wXI,0.0482,0.737,4,0.515,4,198467,-9.267,0.195,audio_features,0Wl42CUb1phIU9O2aR1wXI,0
https://api.spotify.com/v1/tracks/2eqOykyptSCIlB4Q5PmrnQ,Brain on Dub,Bear Grillz,https://api.spotify.com/v1/audio-analysis/2eqOykyptSCIlB4Q5PmrnQ,0.994,0.148,150.042,0.292,spotify:track:2eqOykyptSCIlB4Q5PmrnQ,0.0157,0.0535,4,0.72,0,208000,-2.381,0.144,audio_features,2eqOykyptSCIlB4Q5PmrnQ,1
https://api.spotify.com/v1/tracks/0Xy9xPPs2zRRFqljGqKXel,Pyro,Kings of Leon,https://api.spotify.com/v1/audio-analysis/0Xy9xPPs2zRRFqljGqKXel,0.606,0.103,114.995,0.0415,spotify:track:0Xy9xPPs2zRRFqljGqKXel,0.00757,0.052,4,0.365,1,250533,-7.174,0.191,audio_features,0Xy9xPPs2zRRFqljGqKXel,0
https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,Naive,The Kooks,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,0.808,0.149,100.304,0.0892,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,0.0759,0,4,0.391,8,203507,-6.209,0.737,audio_features,7BHPGtpuuWWsvE7cCaMuEU,0
https://api.spotify.com/v1/tracks/1cDu1ZVtBExJYohWBellWs,I Don't Know - Remastered,Ozzy Osbourne,https://api.spotify.com/v1/audio-analysis/1cDu1ZVtBExJYohWBellWs,0.907,0.119,134.991,0.181,spotify:track:1cDu1ZVtBExJYohWBellWs,0.441,1.17e-06,4,0.443,2,317173,-5.574,0.278,audio_features,1cDu1ZVtBExJYohWBellWs,1
https://api.spotify.com/v1/tracks/7xqANDRz8JFxkwfY65WISy,Loft Music,The Weeknd,https://api.spotify.com/v1/audio-analysis/7xqANDRz8JFxkwfY65WISy,0.498,0.322,171.725,0.177,spotify:track:7xqANDRz8JFxkwfY65WISy,0.581,7.56e-05,4,0.287,6,363640,-7.523,0.0634,audio_features,7xqANDRz8JFxkwfY65WISy,0
https://api.spotify.com/v1/tracks/4m5Cd9kAbIxg6t9sMrQWtk,TIC TOC (feat. Lil Baby),6ix9ine,https://api.spotify.com/v1/audio-analysis/4m5Cd9kAbIxg6t9sMrQWtk,0.691,0.344,142.027,0.0723,spotify:track:4m5Cd9kAbIxg6t9sMrQWtk,0.0115,0,4,0.82,6,135739,-6.646,0.683,audio_features,4m5Cd9kAbIxg6t9sMrQWtk,0
https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2",Pink Floyd,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV,0.394,0.247,104.126,0.0428,spotify:track:4gMgiXfqyzZLMhsksGmbQV,0.0781,0.000677,4,0.694,0,238747,-15.881,0.719,audio_features,4gMgiXfqyzZLMhsksGmbQV,1
https://api.spotify.com/v1/tracks/1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT,Travis Scott,https://api.spotify.com/v1/audio-analysis/1yxgsra98r3qAtxqiGZPiX,0.598,0.112,140.987,0.0539,spotify:track:1yxgsra98r3qAtxqiGZPiX,0.0714,0,4,0.763,11,190678,-6.865,0.182,audio_features,1yxgsra98r3qAtxqiGZPiX,1
https://api.spotify.com/v1/tracks/0WZZJ0mDKIkLfL0710ssZt,Neighborhood #1 (Tunnels),Arcade Fire,https://api.spotify.com/v1/audio-analysis/0WZZJ0mDKIkLfL0710ssZt,0.738,0.29,126.914,0.0324,spotify:track:0WZZJ0mDKIkLfL0710ssZt,0.0647,0.0142,4,0.282,0,288333,-5.566,0.211,audio_features,0WZZJ0mDKIkLfL0710ssZt,1
https://api.spotify.com/v1/tracks/3Vnv1wsbKYwAs0fbB2rORQ,Lambo,Kura,https://api.spotify.com/v1/audio-analysis/3Vnv1wsbKYwAs0fbB2rORQ,0.872,0.0466,124.998,0.0737,spotify:track:3Vnv1wsbKYwAs0fbB2rORQ,0.00557,0.107,4,0.821,1,149826,-6.08,0.429,audio_features,3Vnv1wsbKYwAs0fbB2rORQ,1
https://api.spotify.com/v1/tracks/5MISpOLjlHo6BO6sZD54hp,No Good,Zonderling,https://api.spotify.com/v1/audio-analysis/5MISpOLjlHo6BO6sZD54hp,0.854,0.109,126.169,0.222,spotify:track:5MISpOLjlHo6BO6sZD54hp,0.524,0.0162,4,0.841,1,179048,-4.419,0.542,audio_features,5MISpOLjlHo6BO6sZD54hp,1
https://api.spotify.com/v1/tracks/5uV8vX2DNaCGN9d2I7nw76,Say Gudnite,Jphelpz,https://api.spotify.com/v1/audio-analysis/5uV8vX2DNaCGN9d2I7nw76,0.946,0.0795,125.005,0.0468,spotify:track:5uV8vX2DNaCGN9d2I7nw76,0.00435,0.743,4,0.744,2,252368,-3.178,0.28,audio_features,5uV8vX2DNaCGN9d2I7nw76,1
https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,Give It Away,Red Hot Chili Peppers,https://api.spotify.com/v1/audio-analysis/0uppYCG86ajpV2hSR3dJJ0,0.936,0.153,91.577,0.0476,spotify:track:0uppYCG86ajpV2hSR3dJJ0,0.00244,0.086,4,0.666,7,282907,-9.919,0.776,audio_features,0uppYCG86ajpV2hSR3dJJ0,1
https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,Eminem,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,0.925,0.52,86.989,0.227,spotify:track:15JINEqzVMv3SvJTAXAKED,0.241,0,4,0.749,10,263373,-5.034,0.641,audio_features,15JINEqzVMv3SvJTAXAKED,1
https://api.spotify.com/v1/tracks/6vECYJHxYmm3Ydt3fF01pE,Stolen Dance,Milky Chance,https://api.spotify.com/v1/audio-analysis/6vECYJHxYmm3Ydt3fF01pE,0.584,0.101,114.016,0.0381,spotify:track:6vECYJHxYmm3Ydt3fF01pE,0.41,0.000314,4,0.887,11,313684,-8.798,0.677,audio_features,6vECYJHxYmm3Ydt3fF01pE,1
https://api.spotify.com/v1/tracks/4sNG6zQBmtq7M8aeeKJRMQ,Brazil,Declan McKenna,https://api.spotify.com/v1/audio-analysis/4sNG6zQBmtq7M8aeeKJRMQ,0.617,0.0898,121.08,0.0287,spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,0.0941,1.32e-05,4,0.687,4,252307,-5.213,0.665,audio_features,4sNG6zQBmtq7M8aeeKJRMQ,1
https://api.spotify.com/v1/tracks/5jgFfDIR6FR0gvlA56Nakr,Blackbird - Remastered 2009,The Beatles,https://api.spotify.com/v1/audio-analysis/5jgFfDIR6FR0gvlA56Nakr,0.127,0.0573,93.699,0.0342,spotify:track:5jgFfDIR6FR0gvlA56Nakr,0.754,1.41e-05,4,0.686,7,138387,-14.361,0.372,audio_features,5jgFfDIR6FR0gvlA56Nakr,1
https://api.spotify.com/v1/tracks/40oKW22ZNNkEdZLJTScaQI,Roll In Peace (feat. XXXTENTACION),Kodak Black,https://api.spotify.com/v1/audio-analysis/40oKW22ZNNkEdZLJTScaQI,0.524,0.2,140.053,0.245,spotify:track:40oKW22ZNNkEdZLJTScaQI,0.0306,0,4,0.747,10,213132,-6.807,0.363,audio_features,40oKW22ZNNkEdZLJTScaQI,0
https://api.spotify.com/v1/tracks/2e80MXxo4rJIAkoMwujGh5,Experts - Original Mix,Skism,https://api.spotify.com/v1/audio-analysis/2e80MXxo4rJIAkoMwujGh5,0.947,0.646,174.971,0.123,spotify:track:2e80MXxo4rJIAkoMwujGh5,0.00097,0.516,4,0.254,10,267790,-3.231,0.115,audio_features,2e80MXxo4rJIAkoMwujGh5,0
https://api.spotify.com/v1/tracks/0Se1ajfYEa51gkPKV5UgLV,So Alive,The Goo Goo Dolls,https://api.spotify.com/v1/audio-analysis/0Se1ajfYEa51gkPKV5UgLV,0.807,0.162,75.979,0.032,spotify:track:0Se1ajfYEa51gkPKV5UgLV,0.00496,0.00243,4,0.62,1,195320,-5.526,0.529,audio_features,0Se1ajfYEa51gkPKV5UgLV,0
https://api.spotify.com/v1/tracks/1hxq7kWQnwdhxgpEugBMGk,Dirty Paws,Of Monsters and Men,https://api.spotify.com/v1/audio-analysis/1hxq7kWQnwdhxgpEugBMGk,0.663,0.0552,111.63,0.0349,spotify:track:1hxq7kWQnwdhxgpEugBMGk,0.128,0.0269,4,0.367,3,278373,-6.969,0.177,audio_features,1hxq7kWQnwdhxgpEugBMGk,1
https://api.spotify.com/v1/tracks/07Qonra5xGHyjndj0gtOHy,How I Feel,Roy Woods,https://api.spotify.com/v1/audio-analysis/07Qonra5xGHyjndj0gtOHy,0.466,0.113,112.045,0.0717,spotify:track:07Qonra5xGHyjndj0gtOHy,0.296,0.00308,4,0.8,0,223881,-8.912,0.0778,audio_features,07Qonra5xGHyjndj0gtOHy,1
https://api.spotify.com/v1/tracks/0526DaOuV7mRlPKxhMSJKw,My Collection,Future,https://api.spotify.com/v1/audio-analysis/0526DaOuV7mRlPKxhMSJKw,0.459,0.0971,80.085,0.448,spotify:track:0526DaOuV7mRlPKxhMSJKw,0.729,8.35e-06,4,0.697,8,255556,-8.498,0.409,audio_features,0526DaOuV7mRlPKxhMSJKw,0
https://api.spotify.com/v1/tracks/6rEJzj17kPaWgrsw80gcRV,Snake Bite - VIP,Eliminate,https://api.spotify.com/v1/audio-analysis/6rEJzj17kPaWgrsw80gcRV,0.987,0.268,150.092,0.0954,spotify:track:6rEJzj17kPaWgrsw80gcRV,0.081,0.805,4,0.557,11,228846,-3.678,0.569,audio_features,6rEJzj17kPaWgrsw80gcRV,0
https://api.spotify.com/v1/tracks/4rv1ww0dUwFZcDVPqhcOcX,Try Me,The Weeknd,https://api.spotify.com/v1/audio-analysis/4rv1ww0dUwFZcDVPqhcOcX,0.672,0.147,91.673,0.068,spotify:track:4rv1ww0dUwFZcDVPqhcOcX,0.622,0.00108,4,0.466,8,221107,-5.777,0.108,audio_features,4rv1ww0dUwFZcDVPqhcOcX,0
https://api.spotify.com/v1/tracks/19K3lUMJmOdeuOBTrbLm19,Weekend Wars,MGMT,https://api.spotify.com/v1/audio-analysis/19K3lUMJmOdeuOBTrbLm19,0.859,0.322,77.013,0.0361,spotify:track:19K3lUMJmOdeuOBTrbLm19,0.0964,2.36e-05,4,0.549,5,250773,-3.993,0.69,audio_features,19K3lUMJmOdeuOBTrbLm19,1
https://api.spotify.com/v1/tracks/6C6fHTuFUxVtJpBOOaMvJr,Shameless,The Weeknd,https://api.spotify.com/v1/audio-analysis/6C6fHTuFUxVtJpBOOaMvJr,0.562,0.109,100.038,0.0267,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,0.146,0,4,0.603,6,253507,-8.311,0.244,audio_features,6C6fHTuFUxVtJpBOOaMvJr,1
https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,0.366,0.0837,127.167,0.0286,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,0.15,0.308,4,0.472,11,382297,-12.595,0.171,audio_features,5HNCy40Ni5BZJFw1TKzRsC,0
https://api.spotify.com/v1/tracks/7lAK3oHbfEnvUQWosrMMpR,YOSEMITE,Travis Scott,https://api.spotify.com/v1/audio-analysis/7lAK3oHbfEnvUQWosrMMpR,0.554,0.116,128.047,0.0409,spotify:track:7lAK3oHbfEnvUQWosrMMpR,0.283,3.4e-06,4,0.785,0,150043,-6.571,0.144,audio_features,7lAK3oHbfEnvUQWosrMMpR,1
https://api.spotify.com/v1/tracks/7fQvQxRK8ik9ZQuNHz7jDO,Everything Zen,Bush,https://api.spotify.com/v1/audio-analysis/7fQvQxRK8ik9ZQuNHz7jDO,0.808,0.14,134.237,0.0465,spotify:track:7fQvQxRK8ik9ZQuNHz7jDO,0.000575,0.0036,4,0.482,0,278133,-7.034,0.392,audio_features,7fQvQxRK8ik9ZQuNHz7jDO,1
https://api.spotify.com/v1/tracks/1tDM9ElAIOimEPBEnkXqe2,Sunday Rain,Foo Fighters,https://api.spotify.com/v1/audio-analysis/1tDM9ElAIOimEPBEnkXqe2,0.534,0.127,77.527,0.0298,spotify:track:1tDM9ElAIOimEPBEnkXqe2,0.000527,0.00091,4,0.538,11,371453,-10.538,0.722,audio_features,1tDM9ElAIOimEPBEnkXqe2,1
https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,"Shook Ones, Pt. II",Mobb Deep,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,0.786,0.0817,93.857,0.229,spotify:track:33ZXjLCpiINn8eQIDYEPTD,0.0146,0.0114,4,0.763,10,325507,-6.472,0.504,audio_features,33ZXjLCpiINn8eQIDYEPTD,0
https://api.spotify.com/v1/tracks/6J3qnb7R9JnnnYZIHrz5QN,Table for One,AWOLNATION,https://api.spotify.com/v1/audio-analysis/6J3qnb7R9JnnnYZIHrz5QN,0.827,0.207,128.018,0.0475,spotify:track:6J3qnb7R9JnnnYZIHrz5QN,0.333,0.267,4,0.621,1,279127,-6.473,0.39,audio_features,6J3qnb7R9JnnnYZIHrz5QN,0
https://api.spotify.com/v1/tracks/2Ce5IyMlVRVvN997ZJjJJA,Selfish (feat. Rihanna),Future,https://api.spotify.com/v1/audio-analysis/2Ce5IyMlVRVvN997ZJjJJA,0.369,0.383,95.746,0.0741,spotify:track:2Ce5IyMlVRVvN997ZJjJJA,0.0303,7.64e-06,4,0.415,8,251423,-10.044,0.0913,audio_features,2Ce5IyMlVRVvN997ZJjJJA,1
https://api.spotify.com/v1/tracks/7L1WVz6nOhMmx8Q4vcV0Wt,Talk Tonight,Oasis,https://api.spotify.com/v1/audio-analysis/7L1WVz6nOhMmx8Q4vcV0Wt,0.449,0.371,84.793,0.0263,spotify:track:7L1WVz6nOhMmx8Q4vcV0Wt,0.469,3.19e-05,4,0.434,4,261120,-8.4,0.354,audio_features,7L1WVz6nOhMmx8Q4vcV0Wt,0
https://api.spotify.com/v1/tracks/4uhvMW7ly7tJil31YYscAN,Erase Your Social,Lil Uzi Vert,https://api.spotify.com/v1/audio-analysis/4uhvMW7ly7tJil31YYscAN,0.609,0.234,140.058,0.0729,spotify:track:4uhvMW7ly7tJil31YYscAN,0.694,0,4,0.705,3,199993,-5.728,0.718,audio_features,4uhvMW7ly7tJil31YYscAN,1
